Associated Gene Name	Description	Gene Biotype
AC016582.2		lincRNA
CTC-378H22.1		antisense
DUSP5P	dual specificity phosphatase 5 pseudogene	pseudogene
AC004603.4		lincRNA
CEACAMP10	carcinoembryonic antigen-related cell adhesion molecule pseudogene 10	pseudogene
SNRPD2P2	small nuclear ribonucleoprotein D2 pseudogene 2	pseudogene
RP11-17H4.2		antisense
CEACAM22P	carcinoembryonic antigen-related cell adhesion molecule 2, pseudogene	pseudogene
APOC1P1	apolipoprotein C-I pseudogene 1	pseudogene
RP5-855F14.1		lincRNA
CTB-12A17.1		lincRNA
RP4-781K5.8		lincRNA
AC008888.7		pseudogene
CTD-2126E3.1		lincRNA
NAPSB	napsin B aspartic peptidase pseudogene	pseudogene
KLKP1	kallikrein pseudogene 1	pseudogene
RP11-193H5.1		processed_transcript
RP11-371I1.2		lincRNA
RPS7P5	ribosomal protein S7 pseudogene 5	pseudogene
ZNF816-ZNF321P	ZNF816-ZNF321P readthrough	pseudogene
ZNF702P	zinc finger protein 702, pseudogene	pseudogene
CTD-2224J9.2		pseudogene
RP11-261C10.3		processed_transcript
RP11-278H7.1		lincRNA
RP11-690C23.2		processed_transcript
ZNF542	zinc finger protein 542	pseudogene
RP11-439E19.3		processed_transcript
AC016629.2		pseudogene
RP11-978I15.9		antisense
OR2L1P	olfactory receptor, family 2, subfamily L, member 1 pseudogene	pseudogene
OR2M1P	olfactory receptor, family 2, subfamily M, member 1 pseudogene	pseudogene
XX-CR54.3		processed_transcript
AC118274.1	F-box/LRR-repeat protein 22	protein_coding
AL645608.1	sterile alpha motif domain-containing protein 11	protein_coding
AC026458.1	UPF0764 protein C16orf89 isoform 1 precursor	protein_coding
GAGE4	G antigen 4	protein_coding
GAGE4	G antigen 4	protein_coding
GAGE4	G antigen 4	protein_coding
GAGE4	G antigen 4	protein_coding
KLLN	killin, p53-regulated DNA replication inhibitor	protein_coding
AC026458.2	UPF0764 protein C16orf89 isoform 2 precursor	protein_coding
C19orf76	chromosome 19 open reading frame 76	protein_coding
TMPRSS11BNL	TMPRSS11B N terminal-like	protein_coding
AL359853.2	interferon alpha responsive protein isoform a	protein_coding
C17orf110	chromosome 17 open reading frame 110	protein_coding
AC112502.1	short stature homeobox protein 2 isoform c	protein_coding
AL589988.1	zinc finger MYND domain-containing protein 11 isoform g	protein_coding
AC087645.2	transmembrane protein 235 isoform 1 precursor	protein_coding
AC087645.3	transmembrane protein 235 isoform 3 precursor	protein_coding
VN1R1	vomeronasal 1 receptor 1	protein_coding
ZNF772	zinc finger protein 772	protein_coding
ZNF419	zinc finger protein 419	protein_coding
RP11-317P15.4		lincRNA
RP11-74N20.1		lincRNA
GS1-279B7.1		processed_transcript
ZNF773	zinc finger protein 773	protein_coding
ZNF549	zinc finger protein 549	protein_coding
AC003682.1	Zinc finger protein 550	protein_coding
ZNF416	zinc finger protein 416	protein_coding
ZIK1	zinc finger protein interacting with K protein 1 homolog (mouse)	protein_coding
ZNF530	zinc finger protein 530	protein_coding
ZNF134	zinc finger protein 134	protein_coding
ZNF211	zinc finger protein 211	protein_coding
RP11-463J7.2		processed_transcript
MIR4426	microRNA 4426	pseudogene
ZSCAN4	zinc finger and SCAN domain containing 4	protein_coding
ZNF551	zinc finger protein 551	protein_coding
SPIB	Spi-B transcription factor (Spi-1/PU.1 related)	protein_coding
RP11-214L19.1		lincRNA
MYBPC2	myosin binding protein C, fast type	protein_coding
FAM71E1	family with sequence similarity 71, member E1	protein_coding
C19orf63	chromosome 19 open reading frame 63	protein_coding
RP11-69E11.4		processed_transcript
JOSD2	Josephin domain containing 2	protein_coding
ASPDH	aspartate dehydrogenase domain containing	protein_coding
LRRC4B	leucine rich repeat containing 4B	protein_coding
SYT3	synaptotagmin III	protein_coding
SHANK1	SH3 and multiple ankyrin repeat domains 1	protein_coding
CLEC11A	C-type lectin domain family 11, member A	protein_coding
GPR32	G protein-coupled receptor 32	protein_coding
ACPT	acid phosphatase, testicular	protein_coding
C19orf48	chromosome 19 open reading frame 48	protein_coding
KLK1	kallikrein 1	protein_coding
KLK15	kallikrein-related peptidase 15	protein_coding
RP5-848E13.3		lincRNA
KLK3	kallikrein-related peptidase 3	protein_coding
KLK2	kallikrein-related peptidase 2	protein_coding
KLK4	kallikrein-related peptidase 4	protein_coding
KLK5	kallikrein-related peptidase 5	protein_coding
KLK6	kallikrein-related peptidase 6	protein_coding
KLK7	kallikrein-related peptidase 7	protein_coding
RPS15AP10	ribosomal protein S15a pseudogene 10	pseudogene
KLK8	kallikrein-related peptidase 8	protein_coding
KLK9	kallikrein-related peptidase 9	protein_coding
RP11-8J9.4		antisense
KLK10	kallikrein-related peptidase 10	protein_coding
KLK11	kallikrein-related peptidase 11	protein_coding
KLK12	kallikrein-related peptidase 12	protein_coding
RP11-511I2.5		antisense
KLK13	kallikrein-related peptidase 13	protein_coding
RP5-1024N4.1		pseudogene
KLK14	kallikrein-related peptidase 14	protein_coding
CTU1	cytosolic thiouridylase subunit 1 homolog (S. pombe)	protein_coding
SIGLEC9	sialic acid binding Ig-like lectin 9	protein_coding
SIGLEC7	sialic acid binding Ig-like lectin 7	protein_coding
CD33	CD33 molecule	protein_coding
C19orf75	chromosome 19 open reading frame 75	protein_coding
IGLON5	IgLON family member 5	protein_coding
VSIG10L	V-set and immunoglobulin domain containing 10 like	protein_coding
ETFB	electron-transfer-flavoprotein, beta polypeptide	protein_coding
CLDND2	claudin domain containing 2	protein_coding
NKG7	natural killer cell group 7 sequence	protein_coding
LIM2	lens intrinsic membrane protein 2, 19kDa	protein_coding
CTD-2616J11.4	uncharacterized protein LOC147646	protein_coding
SIGLEC10	sialic acid binding Ig-like lectin 10	protein_coding
ZNF154	zinc finger protein 154	protein_coding
ZNF671	zinc finger protein 671	protein_coding
ZNF776	zinc finger protein 776	protein_coding
RP5-1024G6.5		lincRNA
ZNF586	zinc finger protein 586	protein_coding
SIGLEC8	sialic acid binding Ig-like lectin 8	protein_coding
CEACAM18	carcinoembryonic antigen-related cell adhesion molecule 18	protein_coding
SIGLEC12	sialic acid binding Ig-like lectin 12 (gene/pseudogene)	protein_coding
SIGLEC6	sialic acid binding Ig-like lectin 6	protein_coding
ZNF552	zinc finger protein 552	protein_coding
RP11-31E23.1		lincRNA
ZNF587	zinc finger protein 587	protein_coding
ZNF814	zinc finger protein 814	protein_coding
ZNF417	zinc finger protein 417	protein_coding
ZNF418	zinc finger protein 418	protein_coding
ZNF256	zinc finger protein 256	protein_coding
C19orf18	chromosome 19 open reading frame 18	protein_coding
ZNF606	zinc finger protein 606	protein_coding
RPS10P7	ribosomal protein S10 pseudogene 7	processed_transcript
ZSCAN1	zinc finger and SCAN domain containing 1	protein_coding
ZNF135	zinc finger protein 135	protein_coding
PTPRVP	protein tyrosine phosphatase, receptor type, V, pseudogene	pseudogene
ZSCAN18	zinc finger and SCAN domain containing 18	protein_coding
ZNF329	zinc finger protein 329	protein_coding
ZNF274	zinc finger protein 274	protein_coding
RP11-480I12.7		processed_transcript
RP11-38O14.5		pseudogene
ZNF544	zinc finger protein 544	protein_coding
ZNF8	zinc finger protein 8	protein_coding
RP11-134P9.1		lincRNA
