Associated Gene Name	Description	Gene Biotype	NA
AC016582.2		lincRNA	NA
CTC-378H22.1		antisense	NA
DUSP5P	dual specificity phosphatase 5 pseudogene	pseudogene	574029
AC004603.4		lincRNA	NA
CEACAMP10	carcinoembryonic antigen-related cell adhesion molecule pseudogene 10	pseudogene	1098
SNRPD2P2	small nuclear ribonucleoprotein D2 pseudogene 2	pseudogene	645339
RP11-17H4.2		antisense	NA
CEACAM22P	carcinoembryonic antigen-related cell adhesion molecule 2, pseudogene	pseudogene	388550
APOC1P1	apolipoprotein C-I pseudogene 1	pseudogene	342
RP5-855F14.1		lincRNA	NA
CTB-12A17.1		lincRNA	NA
RP4-781K5.8		lincRNA	NA
AC008888.7		pseudogene	NA
CTD-2126E3.1		lincRNA	NA
NAPSB	napsin B aspartic peptidase pseudogene	pseudogene	256236
KLKP1	kallikrein pseudogene 1	pseudogene	606293
RP11-193H5.1		processed_transcript	NA
RP11-371I1.2		lincRNA	NA
RPS7P5	ribosomal protein S7 pseudogene 5	pseudogene	645884
ZNF816-ZNF321P	ZNF816-ZNF321P readthrough	pseudogene	100529240
ZNF702P	zinc finger protein 702, pseudogene	pseudogene	79986
CTD-2224J9.2		pseudogene	NA
RP11-261C10.3		processed_transcript	NA
RP11-278H7.1		lincRNA	NA
RP11-690C23.2		processed_transcript	NA
ZNF542	zinc finger protein 542	pseudogene	147947
RP11-439E19.3		processed_transcript	NA
AC016629.2		pseudogene	NA
RP11-978I15.9		antisense	NA
OR2L1P	olfactory receptor, family 2, subfamily L, member 1 pseudogene	pseudogene	26247
OR2M1P	olfactory receptor, family 2, subfamily M, member 1 pseudogene	pseudogene	388762
XX-CR54.3		processed_transcript	NA
AC118274.1	F-box/LRR-repeat protein 22	protein_coding	NA
AL645608.1	sterile alpha motif domain-containing protein 11	protein_coding	NA
AC026458.1	UPF0764 protein C16orf89 isoform 1 precursor	protein_coding	NA
GAGE4	G antigen 4	protein_coding	2576
GAGE4	G antigen 4	protein_coding	2576
GAGE4	G antigen 4	protein_coding	2576
GAGE4	G antigen 4	protein_coding	2576
KLLN	killin, p53-regulated DNA replication inhibitor	protein_coding	100144748
AC026458.2	UPF0764 protein C16orf89 isoform 2 precursor	protein_coding	NA
C19orf76	chromosome 19 open reading frame 76	protein_coding	199800
TMPRSS11BNL	TMPRSS11B N terminal-like	protein_coding	401136
AL359853.2	interferon alpha responsive protein isoform a	protein_coding	NA
C17orf110	chromosome 17 open reading frame 110	protein_coding	100130933
AC112502.1	short stature homeobox protein 2 isoform c	protein_coding	NA
AL589988.1	zinc finger MYND domain-containing protein 11 isoform g	protein_coding	NA
AC087645.2	transmembrane protein 235 isoform 1 precursor	protein_coding	NA
AC087645.3	transmembrane protein 235 isoform 3 precursor	protein_coding	NA
VN1R1	vomeronasal 1 receptor 1	protein_coding	57191
ZNF772	zinc finger protein 772	protein_coding	400720
ZNF419	zinc finger protein 419	protein_coding	79744
RP11-317P15.4		lincRNA	NA
RP11-74N20.1		lincRNA	NA
GS1-279B7.1		processed_transcript	NA
ZNF773	zinc finger protein 773	protein_coding	374928
ZNF549	zinc finger protein 549	protein_coding	256051
AC003682.1	Zinc finger protein 550	protein_coding	NA
ZNF416	zinc finger protein 416	protein_coding	55659
ZIK1	zinc finger protein interacting with K protein 1 homolog (mouse)	protein_coding	284307
ZNF530	zinc finger protein 530	protein_coding	348327
ZNF134	zinc finger protein 134	protein_coding	7693
ZNF211	zinc finger protein 211	protein_coding	10520
RP11-463J7.2		processed_transcript	NA
MIR4426	microRNA 4426	pseudogene	100616345
ZSCAN4	zinc finger and SCAN domain containing 4	protein_coding	201516
ZNF551	zinc finger protein 551	protein_coding	90233
SPIB	Spi-B transcription factor (Spi-1/PU.1 related)	protein_coding	6689
RP11-214L19.1		lincRNA	NA
MYBPC2	myosin binding protein C, fast type	protein_coding	4606
FAM71E1	family with sequence similarity 71, member E1	protein_coding	112703
C19orf63	chromosome 19 open reading frame 63	protein_coding	NA
RP11-69E11.4		processed_transcript	NA
JOSD2	Josephin domain containing 2	protein_coding	126119
ASPDH	aspartate dehydrogenase domain containing	protein_coding	554235
LRRC4B	leucine rich repeat containing 4B	protein_coding	94030
SYT3	synaptotagmin III	protein_coding	84258
SHANK1	SH3 and multiple ankyrin repeat domains 1	protein_coding	50944
CLEC11A	C-type lectin domain family 11, member A	protein_coding	6320
GPR32	G protein-coupled receptor 32	protein_coding	2854
ACPT	acid phosphatase, testicular	protein_coding	93650
C19orf48	chromosome 19 open reading frame 48	protein_coding	84798
KLK1	kallikrein 1	protein_coding	3816
KLK15	kallikrein-related peptidase 15	protein_coding	55554
RP5-848E13.3		lincRNA	NA
KLK3	kallikrein-related peptidase 3	protein_coding	354
KLK2	kallikrein-related peptidase 2	protein_coding	3817
KLK4	kallikrein-related peptidase 4	protein_coding	9622
KLK5	kallikrein-related peptidase 5	protein_coding	25818
KLK6	kallikrein-related peptidase 6	protein_coding	5653
